City,URL,Latitude,Longitude,Timezone,Error
ak-dyube,https://wetter.com/kirgisistan/ak-dyube/KG1528886.html,42.4576,78.1077,Asia/Bishkek,
nizhniy-norus,https://wetter.com/kirgisistan/nizhniy-norus/KG1540667.html,42.9265,74.7412,Asia/Bishkek,
murake,https://wetter.com/kirgisistan/murake/KG1527606.html,42.751,74.0184,Asia/Bishkek,
leninskoye,https://wetter.com/kirgisistan/leninskoye/KG1540665.html,42.9706,74.6625,Asia/Bishkek,
kemin,https://wetter.com/kirgisistan/kemin/KG1528606.html,42.7861,75.6917,Asia/Bishkek,
lebedinovka,https://wetter.com/kirgisistan/lebedinovka/KG1527690.html,42.8845,74.6782,Asia/Bishkek,
krasnaya-rechka,https://wetter.com/kirgisistan/krasnaya-rechka/KG1527826.html,42.9014,74.9765,Asia/Bishkek,
nizhniy-orok,https://wetter.com/kirgisistan/nizhniy-orok/KG1540659.html,42.8106,74.534,Asia/Bishkek,
sokuluk,https://wetter.com/kirgisistan/sokuluk/KG1527360.html,42.854,74.3026,Asia/Bishkek,
schopokow,https://wetter.com/kirgisistan/schopokow/KG1527370.html,42.8547,74.3422,Asia/Bishkek,
tash-doeboe,https://wetter.com/kirgisistan/tash-doeboe/KG1527257.html,42.7214,74.5716,Asia/Bishkek,
ak-suu,https://wetter.com/kirgisistan/ak-suu/KG1527232.html,42.4995,78.527,Asia/Bishkek,
akulen,https://wetter.com/kirgisistan/akulen/KG1528882.html,42.3481,76.1658,Asia/Bishkek,
balyktschy,https://wetter.com/kirgisistan/balyktschy/KG1527004.html,42.4602,76.1871,Asia/Bishkek,
tegirmenti,https://wetter.com/kirgisistan/tegirmenti/KG1527245.html,42.7661,76.1588,Asia/Bishkek,
dzhan-bulak,https://wetter.com/kirgisistan/dzhan-bulak/KG1528419.html,42.4445,78.2543,Asia/Bishkek,
ak-say,https://wetter.com/kirgisistan/ak-say/KG1528925.html,42.1341,76.8366,Asia/Bishkek,
barskoon,https://wetter.com/kirgisistan/barskoon/KG1528746.html,42.1579,77.6036,Asia/Bishkek,
shamshy,https://wetter.com/kirgisistan/shamshy/KG1527393.html,42.6981,75.363,Asia/Bishkek,
kek-dzhar,https://wetter.com/kirgisistan/kek-dzhar/KG1540672.html,42.8074,74.6497,Asia/Bishkek,
sosnovka,https://wetter.com/kirgisistan/sosnovka/KG1527351.html,42.6371,73.8961,Asia/Bishkek,
syn-tash,https://wetter.com/kirgisistan/syn-tash/KG1527313.html,42.7031,75.0605,Asia/Bishkek,
verkhniy-orok,https://wetter.com/kirgisistan/verkhniy-orok/KG1540660.html,42.8054,74.5217,Asia/Bishkek,
tokmok,https://wetter.com/kirgisistan/tokmok/KG1527199.html,42.8419,75.3015,Asia/Bishkek,
vostok,https://wetter.com/kirgisistan/vostok/KG1540671.html,42.905,74.6742,Asia/Bishkek,
romanovka,https://wetter.com/kirgisistan/romanovka/KG1527484.html,42.8667,74.3333,Asia/Bishkek,
sadovoye,https://wetter.com/kirgisistan/sadovoye/KG1540670.html,42.9311,74.6671,Asia/Bishkek,
selektsionnoye,https://wetter.com/kirgisistan/selektsionnoye/KG1540658.html,42.8345,74.5208,Asia/Bishkek,
ken-bulun,https://wetter.com/kirgisistan/ken-bulun/KG1527971.html,42.8727,75.1318,Asia/Bishkek,
burana,https://wetter.com/kirgisistan/burana/KG1528624.html,42.7503,75.2695,Asia/Bishkek,
komsomol-skoye,https://wetter.com/kirgisistan/komsomol-skoye/KG1540651.html,42.9462,74.4711,Asia/Bishkek,
bokombayevskoye,https://wetter.com/kirgisistan/bokombayevskoye/KG1528666.html,42.1177,76.9933,Asia/Bishkek,
kant,https://wetter.com/kirgisistan/kant/KG1528193.html,42.8911,74.8508,Asia/Bishkek,
kaindy,https://wetter.com/kirgisistan/kaindy/KG1528234.html,42.8247,73.6759,Asia/Bishkek,
