City,URL,Latitude,Longitude,Timezone,Error,Weather Report?
novopavlovka,https://wetter.com/russland/novopavlovka/RU2018896.html,51.2172,109.2131,Asia/Chita,,True
shilka,https://wetter.com/russland/shilka/RU2016708.html,51.85,116.0333,Asia/Chita,,True
pervomayskiy,https://wetter.com/russland/pervomayskiy/RU2018021.html,51.6701,115.6254,Asia/Chita,,True
mogoytuy,https://wetter.com/russland/mogoytuy/RU2019892.html,51.2833,114.9167,Asia/Chita,,True
mogotscha,https://wetter.com/russland/mogotscha/RU2019912.html,53.7342,119.7652,Asia/Chita,,True
tschita,https://wetter.com/russland/tschita/RU0CT0001.html,52.0317,113.5009,Asia/Chita,,True
mogzon,https://wetter.com/russland/mogzon/RU2019884.html,51.7406,111.9656,Asia/Chita,,True
sherlovaya-gora,https://wetter.com/russland/sherlovaya-gora/RU2016735.html,50.5667,116.25,Asia/Chita,,True
nertschinsk,https://wetter.com/russland/nertschinsk/RU2019326.html,51.9833,116.5833,Asia/Chita,,True
priargunsk,https://wetter.com/russland/priargunsk/RU2017646.html,50.3691,119.1012,Asia/Chita,,True
sretensk,https://wetter.com/russland/sretensk/RU2016110.html,52.2478,117.7084,Asia/Chita,,True
olowjannaja,https://wetter.com/russland/olowjannaja/RU2018498.html,50.95,115.5667,Asia/Chita,,True
zhireken,https://wetter.com/russland/zhireken/RU2012510.html,52.8266,117.3073,Asia/Chita,,True
vershino-darasunskiy,https://wetter.com/russland/vershino-darasunskiy/RU2013442.html,52.366,115.5266,Asia/Chita,,True
yasnogorsk,https://wetter.com/russland/yasnogorsk/RU11951842.html,50.8734,115.6956,Asia/Chita,,True
ulety,https://wetter.com/russland/ulety/RU2014369.html,51.3559,112.4843,Asia/Chita,,True
zabaykal-sk,https://wetter.com/russland/zabaykal-sk/RU2012780.html,49.6513,117.3256,Asia/Chita,,True
novokruchininskiy,https://wetter.com/russland/novokruchininskiy/RU2018925.html,51.7836,113.7759,Asia/Chita,,True
petrovsk-zabaykal-skiy,https://wetter.com/russland/petrovsk-zabaykal-skiy/RU2017945.html,51.2753,108.843,Asia/Chita,,True
kyra,https://wetter.com/russland/kyra/RU2021041.html,49.579,111.9764,Asia/Chita,,True
chernyshevsk,https://wetter.com/russland/chernyshevsk/RU2025458.html,52.5221,117.0171,Asia/Chita,,True
baley,https://wetter.com/russland/baley/RU2027184.html,51.5817,116.634,Asia/Chita,,True
kalga,https://wetter.com/russland/kalga/RU2023286.html,50.9254,118.8996,Asia/Chita,,True
bada,https://wetter.com/russland/bada/RU2027275.html,51.391,109.8615,Asia/Chita,,True
aksha,https://wetter.com/russland/aksha/RU2028028.html,50.2814,113.2867,Asia/Chita,,True
kuanda,https://wetter.com/russland/kuanda/RU2055815.html,56.3161,116.0806,Asia/Chita,,True
darasun,https://wetter.com/russland/darasun/RU2025121.html,51.6594,113.9752,Asia/Chita,,True
aginskoje,https://wetter.com/russland/aginskoje/RU2028078.html,51.1,114.53,Asia/Chita,,True
borzya,https://wetter.com/russland/borzya/RU2026126.html,50.3833,116.5167,Asia/Chita,,True
makkaveyevo,https://wetter.com/russland/makkaveyevo/RU2020559.html,51.7533,113.9454,Asia/Chita,,True
atamanovka,https://wetter.com/russland/atamanovka/RU2027373.html,51.9333,113.6333,Asia/Chita,,True
dauriya,https://wetter.com/russland/dauriya/RU2025099.html,49.9333,116.8667,Asia/Chita,,True
