City,URL,Latitude,Longitude,Timezone,Error,Weather Report?
kampong-gadong,https://wetter.com/brunei/kampong-gadong/BN1820684.html,4.9167,114.9167,Asia/Brunei,,True
bangar,https://wetter.com/brunei/bangar/BN1820903.html,4.7086,115.0717,Asia/Brunei,,True
tutong,https://wetter.com/brunei/tutong/BN0TU0001.html,4.8028,114.6492,Asia/Brunei,,True
labi,https://wetter.com/brunei/labi/BN1820474.html,4.3833,114.4333,Asia/Brunei,,True
bandar-seri-begawan,https://wetter.com/brunei/bandar-seri-begawan/BN0BM0001.html,4.8904,114.9401,Asia/Brunei,,True
kampong-ukong,https://wetter.com/brunei/kampong-ukong/BN1820538.html,4.6667,114.6333,Asia/Brunei,,True
subok,https://wetter.com/brunei/subok/BN1820566.html,4.8931,114.9659,Asia/Brunei,,True
batu-apoi,https://wetter.com/brunei/batu-apoi/BN1820892.html,4.7,115.1,Asia/Brunei,,True
kampong-batang-duri,https://wetter.com/brunei/kampong-batang-duri/BN1820721.html,4.5667,115.1333,Asia/Brunei,,True
lubok-pulau,https://wetter.com/brunei/lubok-pulau/BN1820644.html,4.764,114.6636,Asia/Brunei,,True
kampong-amo,https://wetter.com/brunei/kampong-amo/BN1820730.html,4.6167,115.1,Asia/Brunei,,True
kiudang,https://wetter.com/brunei/kiudang/BN1820662.html,4.75,114.7333,Asia/Brunei,,True
kampong-lupak-luas,https://wetter.com/brunei/kampong-lupak-luas/BN1820640.html,4.8697,114.9405,Asia/Brunei,,True
sukang,https://wetter.com/brunei/sukang/BN1820159.html,4.3167,114.6167,Asia/Brunei,,True
liang,https://wetter.com/brunei/liang/BN1820557.html,4.6775,114.4959,Asia/Brunei,,True
kuala-belait,https://wetter.com/brunei/kuala-belait/BN0BE0001.html,4.5836,114.2312,Asia/Brunei,,True
seria,https://wetter.com/brunei/seria/BN1820187.html,4.6064,114.3248,Asia/Brunei,,True
kuala-balai,https://wetter.com/brunei/kuala-balai/BN1820492.html,4.45,114.3167,Asia/Brunei,,True
kampong-jerudong,https://wetter.com/brunei/kampong-jerudong/BN0BM0002.html,4.95,114.85,Asia/Brunei,,True
kampong-kuala-tutong,https://wetter.com/brunei/kampong-kuala-tutong/BN1820657.html,4.7833,114.6,Asia/Brunei,,True
kampong-tanjong-maya,https://wetter.com/brunei/kampong-tanjong-maya/BN1820551.html,4.75,114.6667,Asia/Brunei,,True
telisai,https://wetter.com/brunei/telisai/BN1820545.html,4.7356,114.5632,Asia/Brunei,,True
biryusinsk,https://wetter.com/russland/biryusinsk/RU1510041.html,55.9634,97.8235,Asia/Irkutsk,,True
mikhaylovka,https://wetter.com/russland/mikhaylovka/RU2020001.html,52.9589,103.2846,Asia/Irkutsk,,True
taischet,https://wetter.com/russland/taischet/RU1489870.html,55.9342,98.0044,Asia/Irkutsk,,True
ust-ilimsk,https://wetter.com/russland/ust-ilimsk/RU2013952.html,58.0006,102.6619,Asia/Irkutsk,,True
mishelevka,https://wetter.com/russland/mishelevka/RU2019945.html,52.8575,103.1719,Asia/Irkutsk,,True
sayansk,https://wetter.com/russland/sayansk/RU2055166.html,54.1088,102.1648,Asia/Irkutsk,,True
novaya-igirma,https://wetter.com/russland/novaya-igirma/RU2019004.html,57.1334,103.9112,Asia/Irkutsk,,True
schelechow,https://wetter.com/russland/schelechow/RU2016764.html,52.2116,104.0915,Asia/Irkutsk,,True
meget,https://wetter.com/russland/meget/RU2020095.html,52.415,104.0494,Asia/Irkutsk,,True
sredniy,https://wetter.com/russland/sredniy/RU6418187.html,52.8884,103.4904,Asia/Irkutsk,,True
nischneudinsk,https://wetter.com/russland/nischneudinsk/RU1497549.html,54.9076,99.0276,Asia/Irkutsk,,True
kuytun,https://wetter.com/russland/kuytun/RU2021093.html,54.3424,101.5092,Asia/Irkutsk,,True
kachug,https://wetter.com/russland/kachug/RU2023333.html,53.9606,105.8817,Asia/Irkutsk,,True
markova,https://wetter.com/russland/markova/RU2056881.html,52.2067,104.2177,Asia/Irkutsk,,True
bodaybo,https://wetter.com/russland/bodaybo/RU2026583.html,57.8506,114.1933,Asia/Irkutsk,,True
tulun,https://wetter.com/russland/tulun/RU2014927.html,54.5636,100.5814,Asia/Irkutsk,,True
sima,https://wetter.com/russland/sima/RU2012484.html,53.9202,102.0442,Asia/Irkutsk,,True
slyudyanka,https://wetter.com/russland/slyudyanka/RU2016422.html,51.6594,103.7061,Asia/Irkutsk,,True
vikhorevka,https://wetter.com/russland/vikhorevka/RU2013399.html,56.1213,101.1777,Asia/Irkutsk,,True
swirsk,https://wetter.com/russland/swirsk/RU2015842.html,53.0858,103.3325,Asia/Irkutsk,,True
cheremkhovo,https://wetter.com/russland/cheremkhovo/RU2025527.html,53.1561,103.0675,Asia/Irkutsk,,True
taksimo,https://wetter.com/russland/taksimo/RU2015701.html,56.3416,114.9005,Asia/Irkutsk,,True
sosnovo-ozerskoye,https://wetter.com/russland/sosnovo-ozerskoye/RU2016216.html,52.5247,111.5412,Asia/Irkutsk,,True
tarbagatay,https://wetter.com/russland/tarbagatay/RU2015545.html,51.482,107.3616,Asia/Irkutsk,,True
petropavlovka,https://wetter.com/russland/petropavlovka/RU2017979.html,50.6114,105.3196,Asia/Irkutsk,,True
zaigrayevo,https://wetter.com/russland/zaigrayevo/RU2012735.html,51.8349,108.267,Asia/Irkutsk,,True
rechka-vydrino,https://wetter.com/russland/rechka-vydrino/RU2013225.html,51.487,104.848,Asia/Irkutsk,,True
markovo,https://wetter.com/russland/markovo/RU2020208.html,57.3206,107.0881,Asia/Irkutsk,,True
ulan-ude,https://wetter.com/russland/ulan-ude/RU0BU0002.html,51.8272,107.6063,Asia/Irkutsk,,True
zheleznogorsk-ilimskiy,https://wetter.com/russland/zheleznogorsk-ilimskiy/RU2012557.html,56.5768,104.1217,Asia/Irkutsk,,True
ust-kut,https://wetter.com/russland/ust-kut/RU2013923.html,56.7938,105.7672,Asia/Irkutsk,,True
sotnikovo,https://wetter.com/russland/sotnikovo/RU2016205.html,51.8845,107.4825,Asia/Irkutsk,,True
sagan-nur,https://wetter.com/russland/sagan-nur/RU7896555.html,51.3436,108.4449,Asia/Irkutsk,,True
ust-ordynskiy,https://wetter.com/russland/ust-ordynskiy/RU2013894.html,52.805,104.7508,Asia/Irkutsk,,True
yurty,https://wetter.com/russland/yurty/RU1485680.html,56.0498,97.6348,Asia/Irkutsk,,True
ussolje-sibirskoje,https://wetter.com/russland/ussolje-sibirskoje/RU2014022.html,52.7519,103.6453,Asia/Irkutsk,,True
nischneangarsk,https://wetter.com/russland/nischneangarsk/RU2019199.html,55.7933,109.5803,Asia/Irkutsk,,True
kirensk,https://wetter.com/russland/kirensk/RU2022083.html,57.7853,108.1119,Asia/Irkutsk,,True
kizhinga,https://wetter.com/russland/kizhinga/RU2022003.html,51.8476,109.908,Asia/Irkutsk,,True
irkutsk,https://wetter.com/russland/irkutsk/RU0IR0001.html,52.2978,104.2964,Asia/Irkutsk,,True
khorinsk,https://wetter.com/russland/khorinsk/RU2022304.html,52.1663,109.7763,Asia/Irkutsk,,True
naushki,https://wetter.com/russland/naushki/RU2019429.html,50.3828,106.1056,Asia/Irkutsk,,True
kyren,https://wetter.com/russland/kyren/RU2021031.html,51.6828,102.1408,Asia/Irkutsk,,True
kamensk,https://wetter.com/russland/kamensk/RU2023225.html,51.9831,106.5848,Asia/Irkutsk,,True
kabansk,https://wetter.com/russland/kabansk/RU2023350.html,52.0486,106.6528,Asia/Irkutsk,,True
gusinoye-ozero,https://wetter.com/russland/gusinoye-ozero/RU2023778.html,51.1144,106.2614,Asia/Irkutsk,,True
istok,https://wetter.com/russland/istok/RU2023427.html,52.0953,106.2475,Asia/Irkutsk,,True
kyakhta,https://wetter.com/russland/kyakhta/RU0BU0001.html,50.3574,106.4503,Asia/Irkutsk,,True
ivolginsk,https://wetter.com/russland/ivolginsk/RU2023377.html,51.7492,107.2837,Asia/Irkutsk,,True
bichura,https://wetter.com/russland/bichura/RU2026708.html,50.5881,107.6022,Asia/Irkutsk,,True
il-inka,https://wetter.com/russland/il-inka/RU2023655.html,52.1194,107.2708,Asia/Irkutsk,,True
bagdarin,https://wetter.com/russland/bagdarin/RU2027244.html,54.4333,113.6,Asia/Irkutsk,,True
barguzin,https://wetter.com/russland/barguzin/RU2027109.html,53.6188,109.639,Asia/Irkutsk,,True
dzhida,https://wetter.com/russland/dzhida/RU2024579.html,50.6772,106.1806,Asia/Irkutsk,,True
babuschkin,https://wetter.com/russland/babuschkin/RU2027276.html,51.7122,105.8647,Asia/Irkutsk,,True
zheleznodorozhnyy,https://wetter.com/russland/zheleznodorozhnyy/RU2012561.html,57.9053,102.7784,Asia/Irkutsk,,True
gusinoozyorsk,https://wetter.com/russland/gusinoozyorsk/RU2023782.html,51.2833,106.5,Asia/Irkutsk,,True
severomuysk,https://wetter.com/russland/severomuysk/RU2016907.html,56.177,113.57,Asia/Irkutsk,,True
ust-bargusin,https://wetter.com/russland/ust-bargusin/RU2013986.html,53.4112,109.031,Asia/Irkutsk,,True
severobaykal-sk,https://wetter.com/russland/severobaykal-sk/RU2016910.html,55.637,109.323,Asia/Irkutsk,,True
lesogorsk,https://wetter.com/russland/lesogorsk/RU1500609.html,56.0458,99.5136,Asia/Irkutsk,,True
kutulik,https://wetter.com/russland/kutulik/RU2021116.html,53.3508,102.7839,Asia/Irkutsk,,True
angarsk,https://wetter.com/russland/angarsk/RU2027667.html,52.5367,103.8864,Asia/Irkutsk,,True
novyy-uoyan,https://wetter.com/russland/novyy-uoyan/RU2018813.html,56.1572,111.7056,Asia/Irkutsk,,True
bratsk,https://wetter.com/russland/bratsk/RU2051523.html,56.1325,101.6142,Asia/Irkutsk,,True
chunskiy,https://wetter.com/russland/chunskiy/RU1507636.html,56.0815,99.6342,Asia/Irkutsk,,True
baykal-sk,https://wetter.com/russland/baykal-sk/RU2026979.html,51.515,104.1402,Asia/Irkutsk,,True
alzamay,https://wetter.com/russland/alzamay/RU1511709.html,55.5562,98.6644,Asia/Irkutsk,,True
mukhorshibir,https://wetter.com/russland/mukhorshibir/RU2019710.html,51.0499,107.83,Asia/Irkutsk,,True
sokol,https://wetter.com/russland/sokol/RU2016334.html,51.8004,107.4444,Asia/Irkutsk,,True
kurumkan,https://wetter.com/russland/kurumkan/RU2021188.html,54.3209,110.3065,Asia/Irkutsk,,True
selenginsk,https://wetter.com/russland/selenginsk/RU2017059.html,52.0064,106.8647,Asia/Irkutsk,,True
onokhoy,https://wetter.com/russland/onokhoy/RU2018436.html,51.9286,108.0669,Asia/Irkutsk,,True
sakamensk,https://wetter.com/russland/sakamensk/RU2012728.html,50.3741,103.2863,Asia/Irkutsk,,True
novaya-bryan,https://wetter.com/russland/novaya-bryan/RU2019009.html,51.717,108.2701,Asia/Irkutsk,,True
turuntayevo,https://wetter.com/russland/turuntayevo/RU2014779.html,52.202,107.6448,Asia/Irkutsk,,True
vydrino,https://wetter.com/russland/vydrino/RU2013226.html,51.463,104.6425,Asia/Irkutsk,,True
belorechenskiy,https://wetter.com/russland/belorechenskiy/RU6418198.html,52.8097,103.5291,Asia/Irkutsk,,True
zalari,https://wetter.com/russland/zalari/RU2012702.html,53.5584,102.5065,Asia/Irkutsk,,True
magistral-nyy,https://wetter.com/russland/magistral-nyy/RU2020584.html,56.1715,107.4417,Asia/Irkutsk,,True
kampung-sungai-dua,https://wetter.com/malaysia/kampung-sungai-dua/MY1734858.html,2.5832,102.4852,Asia/Kuala_Lumpur,,True
kampung-solok-tontong,https://wetter.com/malaysia/kampung-solok-tontong/MY1764220.html,2.6378,102.092,Asia/Kuala_Lumpur,,True
kampong-paya-besar,https://wetter.com/malaysia/kampong-paya-besar/MY1765931.html,3.5167,102.7667,Asia/Kuala_Lumpur,,True
kampung-solok-paku,https://wetter.com/malaysia/kampung-solok-paku/MY1764221.html,2.7377,102.1229,Asia/Kuala_Lumpur,,True
kampung-esok,https://wetter.com/malaysia/kampung-esok/MY1735038.html,3.1535,102.0095,Asia/Kuala_Lumpur,,True
kampung-takau,https://wetter.com/malaysia/kampung-takau/MY1763643.html,2.5981,101.9639,Asia/Kuala_Lumpur,,True
pertang,https://wetter.com/malaysia/pertang/MY1734832.html,2.9597,102.2171,Asia/Kuala_Lumpur,,True
pasir-panjang,https://wetter.com/malaysia/pasir-panjang/MY1734727.html,2.4322,101.9352,Asia/Kuala_Lumpur,,True
tanjung-berangan,https://wetter.com/malaysia/tanjung-berangan/MY1741631.html,2.5411,102.1429,Asia/Kuala_Lumpur,,True
