City,URL,Latitude,Longitude,Timezone,Error
sa-asa-ai,https://wetter.com/samoa/sa-asa-ai/WS4035123.html,-13.6371,-172.1942,Pacific/Apia,
lalomanu,https://wetter.com/samoa/lalomanu/WS4035300.html,-14.0445,-171.4393,Pacific/Apia,
matatufu,https://wetter.com/samoa/matatufu/WS4035217.html,-14.0436,-171.5838,Pacific/Apia,
solosolo,https://wetter.com/samoa/solosolo/WS4035013.html,-13.875,-171.6418,Pacific/Apia,
lelepa,https://wetter.com/samoa/lelepa/WS4035273.html,-13.4454,-172.3605,Pacific/Apia,
vavau,https://wetter.com/samoa/vavau/WS4034896.html,-14.0427,-171.5486,Pacific/Apia,
lufilufi,https://wetter.com/samoa/lufilufi/WS4035249.html,-13.8745,-171.5986,Pacific/Apia,
safotulafai,https://wetter.com/samoa/safotulafai/WS4035117.html,-13.6715,-172.1777,Pacific/Apia,
satapuala,https://wetter.com/samoa/satapuala/WS4035059.html,-13.8354,-171.9796,Pacific/Apia,
faleapuna,https://wetter.com/samoa/faleapuna/WS4035347.html,-13.8776,-171.5924,Pacific/Apia,
samatau,https://wetter.com/samoa/samatau/WS4035075.html,-13.8996,-172.0571,Pacific/Apia,
mulifanua,https://wetter.com/samoa/mulifanua/WS4035196.html,-13.8318,-172.036,Pacific/Apia,
fasito-outa,https://wetter.com/samoa/fasito-outa/WS4035335.html,-13.8116,-171.9406,Pacific/Apia,
nofoali-i,https://wetter.com/samoa/nofoali-i/WS4035174.html,-13.8217,-171.9587,Pacific/Apia,
leulumoega,https://wetter.com/samoa/leulumoega/WS4035260.html,-13.823,-171.9613,Pacific/Apia,
sili,https://wetter.com/samoa/sili/WS4035029.html,-13.756,-172.3773,Pacific/Apia,
falefa,https://wetter.com/samoa/falefa/WS4035358.html,-13.887,-171.5881,Pacific/Apia,
fagamalo,https://wetter.com/samoa/fagamalo/WS4035372.html,-13.4422,-172.349,Pacific/Apia,
lotofaga,https://wetter.com/samoa/lotofaga/WS4035251.html,-14.0429,-171.5704,Pacific/Apia,
tuasivi,https://wetter.com/samoa/tuasivi/WS4034971.html,-13.6676,-172.1756,Pacific/Apia,
satupa-itea,https://wetter.com/samoa/satupa-itea/WS4035045.html,-13.7659,-172.3269,Pacific/Apia,
satitoa,https://wetter.com/samoa/satitoa/WS4035053.html,-14.0276,-171.4302,Pacific/Apia,
apia,https://wetter.com/samoa/apia/WS4035413.html,-13.8333,-171.7667,Pacific/Apia,
malie,https://wetter.com/samoa/malie/WS4035236.html,-13.8004,-171.8469,Pacific/Apia,
letogo,https://wetter.com/samoa/letogo/WS4035263.html,-13.8525,-171.7217,Pacific/Apia,
sasina,https://wetter.com/samoa/sasina/WS4035062.html,-13.47,-172.4492,Pacific/Apia,
vaiusu,https://wetter.com/samoa/vaiusu/WS4034903.html,-13.8268,-171.7933,Pacific/Apia,
auala,https://wetter.com/samoa/auala/WS4035400.html,-13.5167,-172.6525,Pacific/Apia,
papa,https://wetter.com/samoa/papa/WS4035150.html,-13.5308,-172.7152,Pacific/Apia,
falelima,https://wetter.com/samoa/falelima/WS4035352.html,-13.5957,-172.722,Pacific/Apia,
sagone,https://wetter.com/samoa/sagone/WS4035113.html,-13.6873,-172.6186,Pacific/Apia,
matavai,https://wetter.com/samoa/matavai/WS4035209.html,-14.0321,-171.6477,Pacific/Apia,
taga,https://wetter.com/samoa/taga/WS4034998.html,-13.794,-172.5111,Pacific/Apia,
salamumu,https://wetter.com/samoa/salamumu/WS4035108.html,-13.9981,-171.9219,Pacific/Apia,
samamea,https://wetter.com/samoa/samamea/WS4035078.html,-13.9338,-171.5312,Pacific/Apia,
tafua,https://wetter.com/samoa/tafua/WS4034999.html,-13.7927,-172.2538,Pacific/Apia,
asau,https://wetter.com/samoa/asau/WS7106456.html,-13.5196,-172.6378,Pacific/Apia,
lotofaga,https://wetter.com/samoa/lotofaga/WS4035252.html,-13.9764,-171.8578,Pacific/Apia,
matautu,https://wetter.com/samoa/matautu/WS4035216.html,-13.8274,-171.7567,Pacific/Apia,
malua,https://wetter.com/samoa/malua/WS4035234.html,-13.7991,-171.9027,Pacific/Apia,
fogasavai-i,https://wetter.com/samoa/fogasavai-i/WS4035325.html,-13.6803,-172.6267,Pacific/Apia,
safotu,https://wetter.com/samoa/safotu/WS4035118.html,-13.4513,-172.4018,Pacific/Apia,
manase,https://wetter.com/samoa/manase/WS4035231.html,-13.448,-172.3765,Pacific/Apia,
vailoa,https://wetter.com/samoa/vailoa/WS4034938.html,-13.7555,-172.307,Pacific/Apia,
patamea,https://wetter.com/samoa/patamea/WS4035141.html,-13.5246,-172.3068,Pacific/Apia,
a-opo,https://wetter.com/samoa/a-opo/WS4035414.html,-13.5398,-172.5193,Pacific/Apia,
fagafau,https://wetter.com/samoa/fagafau/WS4035381.html,-13.6403,-172.6702,Pacific/Apia,
sapapali-i,https://wetter.com/samoa/sapapali-i/WS4035066.html,-13.6873,-172.1918,Pacific/Apia,
avao,https://wetter.com/samoa/avao/WS4035397.html,-13.4488,-172.3625,Pacific/Apia,
afega,https://wetter.com/samoa/afega/WS4035432.html,-13.7973,-171.8531,Pacific/Apia,
