City,URL,Latitude,Longitude,Timezone,Error,Weather Report?
ulanbel,https://wetter.com/kasachstan/ulanbel/KZ1517813.html,44.8253,71.1369,Asia/Almaty,,True
kulan,https://wetter.com/kasachstan/kulan/KZ1521292.html,42.9102,72.7157,Asia/Almaty,,True
moyynkum,https://wetter.com/kasachstan/moyynkum/KZ1524265.html,44.2831,72.9437,Asia/Almaty,,True
oytal,https://wetter.com/kasachstan/oytal/KZ1520281.html,42.9057,73.2697,Asia/Almaty,,True
zhailma,https://wetter.com/kasachstan/zhailma/KZ1517028.html,43.7296,69.7819,Asia/Almaty,,True
uspenovka,https://wetter.com/kasachstan/uspenovka/KZ1517624.html,43.2122,74.4602,Asia/Almaty,,True
uchtyube,https://wetter.com/kasachstan/uchtyube/KZ1517830.html,43.25,71.3833,Asia/Almaty,,True
zhalpaktobe,https://wetter.com/kasachstan/zhalpaktobe/KZ1516968.html,42.8667,71.4333,Asia/Almaty,,True
rgayty,https://wetter.com/kasachstan/rgayty/KZ1519107.html,43.1306,74.8466,Asia/Almaty,,True
otar,https://wetter.com/kasachstan/otar/KZ1520303.html,43.5381,75.2162,Asia/Almaty,,True
zhangatas,https://wetter.com/kasachstan/zhangatas/KZ1516788.html,43.5627,69.7321,Asia/Almaty,,True
kurday-pavlovka,https://wetter.com/kasachstan/kurday-pavlovka/KZ1521755.html,43.3022,75.1322,Asia/Almaty,,True
chiganak,https://wetter.com/kasachstan/chiganak/KZ1537856.html,44.8306,70.0019,Asia/Almaty,,True
lugovoy,https://wetter.com/kasachstan/lugovoy/KZ1521293.html,42.942,72.761,Asia/Almaty,,True
taras,https://wetter.com/kasachstan/taras/KZ0ZM0001.html,42.9,71.3667,Asia/Almaty,,True
mynaral,https://wetter.com/kasachstan/mynaral/KZ1520789.html,45.4434,73.6545,Asia/Almaty,,True
moinkum,https://wetter.com/kasachstan/moinkum/KZ1520897.html,43.5992,74.3327,Asia/Almaty,,True
shu,https://wetter.com/kasachstan/shu/KZ1519030.html,43.6051,73.7622,Asia/Almaty,,True
merke,https://wetter.com/kasachstan/merke/KZ1520969.html,42.8718,73.1965,Asia/Almaty,,True
korday,https://wetter.com/kasachstan/korday/KZ1524243.html,43.0388,74.7129,Asia/Almaty,,True
kokbastau,https://wetter.com/kasachstan/kokbastau/KZ1522539.html,43.0604,71.6418,Asia/Almaty,,True
kok-su,https://wetter.com/kasachstan/kok-su/KZ1522476.html,43.6833,69.6833,Asia/Almaty,,True
tyshtebay,https://wetter.com/kasachstan/tyshtebay/KZ1517893.html,42.9,72.6833,Asia/Almaty,,True
khantau,https://wetter.com/kasachstan/khantau/KZ1522714.html,44.2263,73.7941,Asia/Almaty,,True
sarykemer,https://wetter.com/kasachstan/sarykemer/KZ1520947.html,43.0093,71.5101,Asia/Almaty,,True
nekrasovka,https://wetter.com/kasachstan/nekrasovka/KZ1520724.html,42.8322,70.3658,Asia/Almaty,,True
kuprinka,https://wetter.com/kasachstan/kuprinka/KZ1521780.html,51.2,71.3167,Asia/Almaty,,True
zhanatogan,https://wetter.com/kasachstan/zhanatogan/KZ1516821.html,43.55,70.8,Asia/Almaty,,True
granitogorsk,https://wetter.com/kasachstan/granitogorsk/KZ1524182.html,42.744,73.4685,Asia/Almaty,,True
shantobe,https://wetter.com/kasachstan/shantobe/KZ1519277.html,52.4538,68.1748,Asia/Almaty,,True
shortandy,https://wetter.com/kasachstan/shortandy/KZ1519050.html,51.6993,70.9913,Asia/Almaty,,True
balkashino,https://wetter.com/kasachstan/balkashino/KZ1525809.html,52.5178,68.7516,Asia/Almaty,,True
qorghalzhyn,https://wetter.com/kasachstan/qorghalzhyn/KZ1521750.html,50.5837,70.0189,Asia/Almaty,,True
shchuchinsk,https://wetter.com/kasachstan/shchuchinsk/KZ1519244.html,52.9359,70.189,Asia/Almaty,,True
aksu,https://wetter.com/kasachstan/aksu/KZ1526271.html,52.4442,71.9576,Asia/Almaty,,True
egindikoel,https://wetter.com/kasachstan/egindikoel/KZ1521998.html,51.0523,69.4751,Asia/Almaty,,True
tavolzhanka,https://wetter.com/kasachstan/tavolzhanka/KZ1518336.html,51.577,69.6116,Asia/Almaty,,True
zhaksy,https://wetter.com/kasachstan/zhaksy/KZ1517020.html,51.9106,67.3167,Asia/Almaty,,True
yereymentau,https://wetter.com/kasachstan/yereymentau/KZ1524302.html,51.6236,73.1027,Asia/Almaty,,True
zholymbet,https://wetter.com/kasachstan/zholymbet/KZ1516527.html,51.7426,71.7097,Asia/Almaty,,True
granikovka,https://wetter.com/kasachstan/granikovka/KZ1524183.html,52.5258,68.5177,Asia/Almaty,,True
zhana-kiima,https://wetter.com/kasachstan/zhana-kiima/KZ1537922.html,51.5961,67.5894,Asia/Almaty,,True
kirovo,https://wetter.com/kasachstan/kirovo/KZ1539217.html,51.1819,71.3428,Asia/Almaty,,True
maybalyk,https://wetter.com/kasachstan/maybalyk/KZ1520502.html,50.9788,71.535,Asia/Almaty,,True
taldykol,https://wetter.com/kasachstan/taldykol/KZ1518557.html,51.1167,71.35,Asia/Almaty,,True
zaozernyy,https://wetter.com/kasachstan/zaozernyy/KZ1517100.html,51.1667,71.5,Asia/Almaty,,True
zheleznodorozhnyy,https://wetter.com/kasachstan/zheleznodorozhnyy/KZ1516631.html,51.1464,71.5669,Asia/Almaty,,True
sorokovaya,https://wetter.com/kasachstan/sorokovaya/KZ1518859.html,51.15,71.55,Asia/Almaty,,True
promyshlennyy,https://wetter.com/kasachstan/promyshlennyy/KZ1537918.html,51.129,71.5276,Asia/Almaty,,True
astana,https://wetter.com/kasachstan/astana/KZXY00001.html,51.1801,71.446,Asia/Almaty,,True
prigorodnyy,https://wetter.com/kasachstan/prigorodnyy/KZ1539219.html,51.0425,71.429,Asia/Almaty,,True
kuygenzhar,https://wetter.com/kasachstan/kuygenzhar/KZ1521629.html,51.1061,71.682,Asia/Almaty,,True
internatsional-noye,https://wetter.com/kasachstan/internatsional-noye/KZ1523800.html,51.1248,71.5977,Asia/Almaty,,True
tatti,https://wetter.com/kasachstan/tatti/KZ1518359.html,43.216,73.3039,Asia/Almaty,,True
grodikovo,https://wetter.com/kasachstan/grodikovo/KZ1524173.html,42.8833,71.4333,Asia/Almaty,,True
koktobe,https://wetter.com/kasachstan/koktobe/KZ1522436.html,42.6457,69.4253,Asia/Almaty,,True
bauyrzhan-momyshuly,https://wetter.com/kasachstan/bauyrzhan-momyshuly/KZ1524965.html,42.6142,70.7698,Asia/Almaty,,True
aktuma,https://wetter.com/kasachstan/aktuma/KZ1526566.html,48.1929,67.2738,Asia/Almaty,,True
dulyghaly-meshiti,https://wetter.com/kasachstan/dulyghaly-meshiti/KZ1524515.html,48.5379,65.7095,Asia/Almaty,,True
betbulaq,https://wetter.com/kasachstan/betbulaq/KZ1525364.html,48.871,68.0653,Asia/Almaty,,True
oymaut,https://wetter.com/kasachstan/oymaut/KZ1520288.html,41.0333,68.6333,Asia/Almaty,,True
turar-ryskulov,https://wetter.com/kasachstan/turar-ryskulov/KZ1517501.html,42.5334,70.3496,Asia/Almaty,,True
zhetysay,https://wetter.com/kasachstan/zhetysay/KZ1524385.html,40.7763,68.3277,Asia/Almaty,,True
betpak-dala,https://wetter.com/kasachstan/betpak-dala/KZ1525362.html,46.032,70.195,Asia/Almaty,,True
temirlanovka,https://wetter.com/kasachstan/temirlanovka/KZ1518266.html,42.6,69.2584,Asia/Almaty,,True
aktau,https://wetter.com/kasachstan/aktau/KZ1537861.html,47.7455,71.4466,Asia/Almaty,,True
saryaghash,https://wetter.com/kasachstan/saryaghash/KZ1519673.html,41.4604,69.1679,Asia/Almaty,,True
mashat,https://wetter.com/kasachstan/mashat/KZ1520674.html,42.5747,69.8467,Asia/Almaty,,True
timur,https://wetter.com/kasachstan/timur/KZ1518156.html,42.8257,68.4376,Asia/Almaty,,True
